Customer_No,Campaign_ID,Treatment,Response,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
1444,1,1,0,0.07,0.49,0.49,0.11,0.92,0.92,1,0.31,0.37,1,0.90,0.07,0.01,0.01,0.07,0.24,0.69,0.08,0.80,0
1445,1,0,0,0.54,0.56,0.14,0.53,0.34,0.21,0,0.46,0.17,0,0.25,0.93,0.57,0.77,0.22,0.67,0.68,0.48,0.47,0
1446,1,1,0,0.81,0.99,0.72,0.46,0.63,0.83,0,0.22,0.40,0,0.96,0.11,0.81,0.79,0.18,0.39,0.61,0.90,0.16,0
1447,1,1,0,0.16,0.23,0.22,0.17,0.48,0.46,1,0.04,0.36,0,0.58,0.23,0.06,0.87,0.52,0.51,0.37,0.83,0.26,0
1448,1,1,0,0.41,0.10,0.30,0.38,0.32,0.00,0,0.70,0.69,1,0.56,0.99,0.61,0.67,0.71,0.69,0.28,0.74,0.67,1
1449,1,1,0,0.13,0.98,0.47,0.25,0.58,0.70,1,0.29,0.42,1,0.24,0.90,0.33,0.87,0.40,0.99,0.50,0.13,0.08,0
1450,1,1,0,0.82,0.10,0.65,0.81,0.55,0.22,0,0.65,0.51,1,0.76,0.64,0.66,0.81,0.35,0.78,0.69,0.34,0.76,0
1451,1,1,0,0.53,0.55,0.81,0.53,0.57,0.61,0,0.35,0.48,0,0.60,0.02,0.32,0.28,0.50,0.10,0.85,0.92,0.40,1
1452,1,1,0,0.29,0.85,0.89,0.56,0.36,0.40,1,0.31,0.61,0,0.08,0.34,0.20,0.53,0.61,0.49,0.65,0.68,0.05,0
1453,1,0,0,0.16,0.86,0.55,0.47,0.57,0.77,1,0.75,0.09,1,0.89,0.66,0.74,0.93,0.49,0.26,0.69,0.51,0.06,1
1454,1,1,0,0.57,0.34,0.38,0.54,0.35,0.50,0,0.11,0.23,0,0.48,0.36,0.64,0.74,0.52,0.88,0.02,0.58,0.67,0
1455,1,1,0,0.64,0.13,0.62,0.56,0.49,0.63,1,0.30,0.53,1,0.90,0.95,0.97,0.43,0.43,0.97,0.32,0.93,0.82,0
1456,1,1,0,0.56,0.06,0.15,0.30,0.47,0.86,1,0.07,0.28,0,0.15,0.71,0.90,0.11,0.42,0.05,0.88,0.98,0.60,1
1457,1,0,1,0.81,0.47,0.47,0.65,0.18,0.41,1,0.91,0.41,1,0.86,0.96,0.15,0.50,0.29,0.93,0.31,0.57,0.19,1
1458,1,1,0,0.18,0.08,0.51,0.16,0.59,0.29,0,0.70,0.50,0,0.35,0.59,0.12,0.69,0.41,0.98,0.78,0.81,0.40,0
1459,1,1,0,0.42,0.68,0.86,0.74,0.28,0.61,0,0.93,0.27,1,0.43,0.24,0.31,0.49,0.42,0.82,0.21,0.24,0.46,0
1460,1,1,0,0.34,0.17,0.47,0.61,0.41,0.67,0,0.63,0.58,1,0.75,0.06,0.25,0.52,0.49,0.67,0.90,0.62,0.44,1
1461,1,1,0,0.95,0.78,0.77,0.46,0.43,0.51,1,0.48,0.55,0,0.39,0.10,0.68,0.40,0.25,0.86,0.85,0.40,0.09,1
1462,1,0,0,0.42,0.33,0.54,0.35,0.38,0.92,0,0.12,0.21,0,0.92,0.71,0.62,0.14,0.18,0.32,0.15,0.49,0.32,0
1463,1,0,1,0.54,0.50,0.25,0.23,0.45,0.25,0,0.60,0.41,0,0.12,0.69,0.94,0.62,0.59,0.86,0.66,0.94,0.38,0
1464,1,1,0,0.84,0.13,0.02,0.22,0.61,0.10,1,0.68,0.31,1,0.47,0.33,0.53,0.96,0.29,0.07,0.94,0.99,0.54,1
1465,1,1,0,0.99,0.35,0.65,0.49,0.27,0.28,0,0.65,0.59,1,0.23,0.07,0.67,0.60,0.29,0.01,0.18,0.07,0.79,0
1466,1,1,0,0.99,0.36,0.20,0.18,0.79,0.67,1,0.82,0.37,0,0.63,0.58,0.23,0.23,0.15,0.30,0.64,0.83,0.80,1
1467,1,1,0,0.62,0.42,0.99,0.52,0.62,0.17,0,0.11,0.50,0,0.23,0.15,0.77,0.37,0.38,0.41,0.85,0.91,0.56,1
1468,1,1,0,0.09,0.81,0.93,0.42,0.40,0.34,1,0.19,0.36,1,0.12,0.87,0.53,0.40,0.34,0.45,0.68,0.64,0.32,1
1469,1,1,1,0.31,0.08,0.87,0.58,0.58,0.05,0,0.56,0.32,0,0.74,0.67,0.33,0.35,0.60,0.19,0.06,0.89,0.69,1
1470,1,1,0,0.31,0.24,0.45,0.37,0.46,0.35,0,0.69,0.24,1,0.01,0.66,0.14,0.56,0.47,0.91,0.35,0.05,0.50,1
1471,1,1,0,0.96,0.53,0.75,0.47,0.70,0.90,1,0.95,0.23,0,0.37,0.18,0.43,0.45,0.64,0.83,0.59,0.35,0.98,1
1472,1,0,0,0.70,0.77,0.37,0.36,0.62,0.94,1,0.59,0.46,0,0.36,0.67,0.39,0.04,0.41,0.66,0.80,0.56,0.90,0
1473,1,1,0,0.43,0.69,0.59,0.68,0.34,0.26,1,0.62,0.32,0,0.74,0.53,0.65,0.38,0.37,0.66,0.46,0.98,0.91,0
1474,1,0,0,0.39,0.60,0.58,0.31,0.39,0.14,0,0.94,0.33,1,0.37,0.22,0.66,0.22,0.48,0.37,0.97,0.11,0.61,1
1475,1,1,0,0.96,0.83,0.68,0.22,0.73,0.66,1,0.20,0.53,0,0.57,0.53,0.35,0.95,0.31,0.19,0.69,0.64,0.39,0
1476,1,1,1,0.93,0.06,0.98,0.60,0.43,0.37,1,0.81,0.42,0,0.40,0.29,0.51,0.48,0.39,0.60,0.67,0.11,0.09,0
1477,1,1,0,0.63,0.65,0.54,0.10,0.56,0.44,1,0.52,0.26,0,0.17,0.47,0.49,0.58,0.44,0.15,0.14,0.67,0.64,1
1478,1,1,0,0.88,0.69,0.58,0.39,0.80,0.57,1,0.49,0.25,1,0.27,0.20,0.15,0.89,0.36,0.45,0.17,0.11,0.71,1
1479,1,1,0,0.94,0.15,0.00,0.20,0.90,0.77,1,0.51,0.11,1,0.72,0.69,0.97,0.84,0.51,0.22,0.66,0.64,0.78,0
1480,1,1,0,0.71,0.12,0.06,0.18,0.80,0.80,1,0.83,0.61,0,0.76,0.84,0.03,0.71,0.58,0.09,0.10,0.29,0.32,1
1481,1,1,1,0.52,0.47,0.87,0.50,0.74,0.67,0,1.00,0.51,0,0.22,0.65,0.92,0.86,0.37,0.91,0.16,0.56,0.41,0
1482,1,1,0,0.21,0.77,0.69,0.51,0.37,0.56,0,0.15,0.39,0,0.94,0.74,0.81,0.61,0.05,0.07,0.23,0.59,0.98,1
1483,1,1,0,0.53,0.14,0.97,0.45,0.41,0.72,0,0.91,0.27,0,0.95,0.97,0.17,0.05,0.25,0.87,0.24,0.51,0.62,1
1484,1,1,0,0.58,0.96,0.95,0.59,0.39,0.94,0,0.33,0.30,0,0.55,0.29,0.03,0.25,0.57,0.84,0.29,0.55,0.59,1
1485,1,0,0,0.00,0.49,0.96,0.60,0.59,0.81,1,0.07,0.20,1,0.85,0.35,0.29,0.77,0.75,0.73,0.33,0.74,0.20,1
1486,1,1,1,0.93,0.74,0.70,0.29,0.59,0.17,1,0.78,0.38,0,0.75,0.25,0.18,0.31,0.48,0.49,0.04,0.22,0.81,1
1487,1,0,0,0.64,0.79,0.66,0.49,0.52,0.44,0,0.82,0.12,1,0.31,0.97,0.61,0.12,0.29,0.32,0.66,0.27,0.67,0
1488,1,1,0,0.45,0.76,0.50,0.54,0.26,0.99,0,0.17,0.30,0,0.56,0.60,0.01,0.89,0.27,0.22,0.26,0.09,0.94,1
1489,1,1,0,0.89,0.86,0.41,0.46,0.37,0.45,1,0.67,0.29,0,0.67,0.85,0.02,0.76,0.40,0.53,0.12,0.16,0.73,0
1490,1,1,1,0.23,0.02,0.43,0.35,0.50,0.10,1,0.85,0.22,1,0.59,0.65,0.09,0.03,0.04,0.66,0.99,0.06,0.79,1
1491,1,1,1,0.39,0.77,0.27,0.57,0.71,0.86,0,0.36,0.36,0,0.08,0.69,0.34,0.81,0.44,0.81,0.06,0.28,0.98,1
1492,1,1,0,0.35,0.75,0.27,0.47,0.34,0.72,1,0.72,0.36,1,0.08,0.50,0.98,0.87,0.82,0.38,0.05,0.42,0.55,1
1493,1,1,0,0.09,0.24,0.81,0.73,0.23,0.42,1,0.84,0.54,0,0.94,0.72,0.84,0.80,0.52,0.54,0.96,0.88,0.10,0
1494,1,1,0,0.72,0.33,0.82,0.53,0.68,0.36,0,0.37,0.41,0,0.28,0.04,0.05,0.38,0.37,0.42,0.49,0.05,0.37,1
1495,1,1,1,0.91,0.25,0.31,0.13,0.65,0.29,0,0.40,0.10,0,0.63,0.23,0.10,0.34,0.20,0.95,0.04,0.62,0.01,0
1496,1,1,1,0.66,0.89,0.47,0.48,0.47,0.15,1,0.69,0.34,0,0.69,0.21,0.01,0.30,0.25,0.86,0.80,0.88,0.73,1
1497,1,1,1,0.72,0.67,0.94,0.86,0.26,0.36,1,0.88,0.62,1,0.27,0.39,0.45,0.43,0.06,0.18,0.38,0.32,0.68,1
1498,1,1,0,0.51,0.30,0.20,0.01,0.72,0.86,1,0.88,0.25,0,0.43,0.92,0.06,0.74,0.25,0.21,0.93,0.14,0.36,1
1499,1,1,0,0.89,0.08,0.19,0.25,0.53,0.60,1,0.79,0.28,1,0.60,0.80,0.81,0.23,0.22,0.46,0.16,0.23,0.50,1
1500,1,1,0,0.41,0.18,0.16,0.18,0.60,0.41,0,0.73,0.41,1,0.84,0.88,0.62,0.31,0.29,0.87,0.49,0.37,0.05,0
1501,1,1,0,0.55,0.23,0.77,0.43,0.46,0.76,1,0.01,0.18,1,0.90,0.83,0.50,0.46,0.49,0.80,0.23,0.42,0.52,0
1502,1,1,0,0.73,0.65,0.86,0.62,0.66,0.82,1,0.41,0.06,0,0.60,0.79,0.93,0.35,0.36,0.40,0.74,0.45,0.95,0
1503,1,1,0,0.70,0.51,0.50,0.59,0.36,0.33,1,0.91,0.54,0,0.09,0.54,0.65,0.50,0.27,0.50,0.03,0.45,0.48,1
1504,1,1,0,0.27,0.48,0.91,0.48,0.53,0.97,1,0.89,0.61,0,0.81,0.51,0.85,0.77,0.42,0.90,0.74,0.41,0.81,1
1505,1,1,0,0.12,0.17,0.15,0.18,0.76,0.47,1,0.54,0.41,1,0.84,0.66,0.19,0.80,0.33,0.17,0.39,0.02,0.95,1
1506,1,0,0,0.18,0.97,0.13,0.35,0.60,0.78,0,0.39,0.04,0,0.63,0.12,0.14,0.83,0.58,0.24,0.57,0.16,0.95,0
1507,1,0,0,0.81,0.75,0.62,0.28,0.76,0.70,0,0.28,0.39,0,0.46,0.73,0.70,0.23,0.19,0.41,0.14,0.73,0.86,1
1508,1,0,1,0.82,0.27,0.85,0.43,0.63,0.50,1,0.76,0.67,1,0.89,0.61,0.12,0.68,0.37,0.62,0.02,0.70,0.63,0
1509,1,0,0,0.56,0.24,0.40,0.12,0.63,0.85,1,0.54,0.39,1,0.50,0.28,0.40,0.20,0.50,0.72,0.05,0.67,0.96,0
1510,1,1,0,0.18,0.45,0.73,0.33,0.42,0.33,1,0.81,0.56,1,0.89,0.29,0.90,0.87,0.28,0.51,0.68,0.51,0.60,1
1511,1,0,0,0.90,0.88,0.37,0.19,0.83,0.93,0,0.98,0.49,1,0.93,0.42,0.27,0.46,0.27,0.48,0.74,0.64,0.78,1
1512,1,1,0,0.86,0.45,0.88,0.44,0.55,0.15,0,0.74,0.41,1,0.20,0.09,0.75,0.41,0.55,0.32,0.60,0.24,0.96,0
1513,1,1,0,0.70,0.80,0.29,0.38,0.56,0.43,0,0.47,0.25,1,0.57,0.58,0.96,0.05,0.12,0.24,0.08,0.00,0.19,0
1514,1,0,1,0.45,0.21,0.96,0.57,0.71,0.11,1,0.96,0.04,1,0.86,0.72,0.38,0.27,0.05,0.23,0.82,0.50,0.93,0
1515,1,1,0,0.11,0.02,0.10,0.16,0.59,0.68,0,0.61,0.13,1,0.22,0.41,0.65,0.42,0.25,0.06,0.93,0.71,0.97,1
1516,1,1,1,0.65,0.63,0.91,0.81,0.12,0.51,1,0.90,0.38,0,0.91,0.90,0.80,0.45,0.06,0.40,0.19,0.58,0.25,0
1517,1,1,0,0.73,0.69,0.19,0.42,0.63,0.10,1,0.67,0.69,0,0.31,0.80,0.67,0.29,0.55,0.80,0.94,0.25,0.47,1
1518,1,1,0,0.30,0.02,0.16,0.31,0.36,0.77,1,0.83,0.53,1,0.40,0.50,0.40,0.29,0.50,0.48,0.16,0.43,0.81,0
1519,1,0,0,0.55,0.16,0.50,0.69,0.63,0.56,0,0.04,0.10,1,0.22,0.32,0.76,0.79,0.27,0.37,0.93,0.80,0.78,0
1520,1,1,0,0.94,0.53,0.33,0.12,0.53,0.74,1,0.73,0.39,0,0.04,0.44,0.44,0.46,0.53,0.54,0.11,0.32,0.37,1
1521,1,1,0,0.06,0.69,0.43,0.15,0.80,0.91,0,0.39,0.39,0,0.07,0.84,0.48,0.47,0.71,0.95,0.12,0.54,0.93,1
1522,1,1,1,0.74,0.21,0.94,0.87,0.17,0.77,1,0.30,0.53,1,0.01,0.78,0.81,0.13,0.36,0.55,0.24,0.64,0.88,1
1523,1,1,0,0.84,0.61,0.63,0.19,0.56,0.62,0,0.08,0.25,1,0.66,0.76,0.98,0.82,0.28,0.15,0.35,0.67,0.75,0
1524,1,1,0,0.46,0.78,0.53,0.59,0.36,0.26,0,0.23,0.16,0,0.26,0.01,0.52,0.83,0.62,0.63,0.86,0.94,0.16,0
1525,1,1,0,0.25,0.69,0.40,0.12,0.79,0.66,0,0.56,0.50,0,0.38,0.80,0.08,0.01,0.49,0.24,0.82,0.35,0.22,1
1526,1,1,1,0.54,0.92,0.73,0.18,0.50,0.14,1,0.46,0.53,1,0.81,0.16,0.26,0.31,0.04,0.55,0.97,0.29,0.24,0
1527,1,1,0,0.02,0.91,0.76,0.79,0.49,0.58,0,0.73,0.45,1,0.06,0.85,0.56,0.32,0.45,0.49,0.53,0.75,0.40,0
1528,1,1,0,0.38,0.17,0.10,0.46,0.58,0.50,0,0.95,0.55,1,0.17,0.89,0.69,0.53,0.26,0.89,0.17,0.90,0.88,1
1529,1,1,0,0.90,0.24,0.75,0.57,0.45,0.55,1,0.77,0.18,1,0.30,0.80,0.23,0.88,0.84,0.57,0.45,0.87,0.33,0
1530,1,0,1,0.53,0.09,0.80,0.66,0.48,0.14,0,0.85,0.66,0,0.27,0.04,0.55,0.34,0.45,0.49,0.60,0.86,0.36,1
1531,1,0,1,0.91,0.01,0.36,0.47,0.31,0.87,1,0.22,0.23,1,0.93,0.80,0.54,0.20,0.47,0.86,0.74,0.01,0.40,1
1532,1,1,0,0.50,0.74,0.31,0.50,0.59,0.76,1,0.52,0.38,0,0.84,0.82,0.93,0.88,0.50,0.30,0.42,0.50,0.61,0
1533,1,0,0,0.47,0.32,0.23,0.30,0.79,0.15,0,0.31,0.52,1,0.12,0.05,0.78,0.82,0.38,0.43,0.49,0.02,0.63,0
1534,1,0,0,0.51,0.91,0.58,0.50,0.27,0.83,0,0.71,0.46,1,0.20,0.62,0.89,0.26,0.03,0.80,0.55,0.46,0.60,0
1535,1,1,0,0.93,0.56,0.17,0.48,0.75,0.72,1,0.25,0.35,0,0.54,0.96,0.60,0.64,0.44,0.92,0.97,0.86,0.72,1
1536,1,1,1,0.12,0.40,0.17,0.43,0.43,0.77,1,0.35,0.51,1,0.18,0.58,0.08,0.47,0.34,0.89,0.56,0.49,0.17,0
1537,1,0,0,0.22,0.89,0.89,0.47,0.49,0.83,1,0.04,0.06,0,0.68,0.82,0.24,0.84,0.47,0.06,0.89,0.28,0.22,1
1538,1,0,0,0.29,0.43,0.86,0.55,0.49,0.35,0,0.13,0.28,1,0.52,0.95,0.50,0.15,0.52,0.77,0.59,0.95,0.82,1
1539,1,1,0,0.58,0.13,0.05,0.48,0.27,0.81,0,0.79,0.71,1,0.03,0.11,0.57,0.70,0.52,0.21,0.78,0.59,0.24,1
1540,1,1,0,0.24,0.27,0.72,0.45,0.60,0.67,1,0.85,0.65,0,0.86,0.64,0.33,0.88,0.51,0.46,0.57,0.98,0.64,0
1541,1,1,0,0.76,0.14,0.81,0.29,0.40,0.24,1,0.84,0.43,1,0.53,0.05,0.80,0.54,0.26,0.31,0.73,0.50,0.31,1
1542,1,1,0,0.56,0.90,0.75,0.66,0.41,0.10,0,0.22,0.36,0,0.63,0.52,0.23,0.99,0.52,0.40,0.91,0.83,0.95,1
1543,1,1,0,0.73,0.16,0.31,0.51,0.72,0.52,0,0.23,0.13,1,0.37,0.23,0.72,0.80,0.53,0.53,0.54,0.14,0.27,0
1544,1,1,0,0.95,0.58,0.31,0.27,0.71,0.99,0,0.52,0.20,0,0.47,0.20,0.23,0.54,0.72,0.13,0.80,0.07,0.30,0
1545,1,0,0,0.00,0.86,0.41,0.18,0.59,0.24,0,0.92,0.20,1,0.96,0.18,0.88,0.57,0.25,0.04,0.43,0.03,0.56,0
1546,1,1,0,0.25,0.84,0.99,0.24,0.79,0.16,1,0.16,0.43,1,0.42,0.79,0.49,0.46,0.12,0.23,0.50,0.07,0.62,0
1547,1,1,0,0.56,0.21,0.02,0.14,0.50,0.89,1,0.92,0.27,0,0.53,0.62,0.14,0.73,0.52,0.35,0.17,0.51,0.75,0
1548,1,1,1,0.86,0.41,0.84,0.23,0.72,0.78,1,0.87,0.33,1,0.58,0.86,0.90,0.16,0.12,0.79,0.34,0.37,0.83,0
1549,1,1,0,0.74,0.76,0.68,0.65,0.56,0.93,1,0.89,0.17,1,0.25,0.06,0.80,0.55,0.50,0.66,0.64,0.75,0.45,0
1550,1,1,0,0.30,0.91,0.03,0.06,0.64,0.12,1,0.53,0.48,1,0.86,0.35,0.47,0.67,0.56,0.34,0.27,0.30,0.62,1
1551,1,1,0,0.29,0.71,0.50,0.28,0.42,0.72,0,0.53,0.15,1,0.96,0.11,0.98,0.43,0.19,0.66,0.43,0.71,0.06,1
1552,1,1,0,0.54,0.86,0.71,0.34,0.54,0.29,0,0.38,0.33,1,0.70,0.40,0.70,0.62,0.32,0.30,0.95,0.85,0.36,0
1553,1,0,0,0.91,0.17,0.00,0.16,0.76,0.54,0,0.38,0.10,0,0.32,0.87,0.53,0.75,0.23,0.07,0.45,0.16,0.26,0
1554,1,1,0,0.92,0.89,0.04,0.08,0.57,0.26,0,0.66,0.36,0,0.43,0.85,0.93,0.50,0.53,0.05,0.94,0.12,0.02,1
1555,1,1,0,0.33,0.22,0.77,0.47,0.73,0.54,0,0.95,0.79,1,0.85,0.97,0.37,0.33,0.44,0.88,0.31,0.52,0.82,0
1556,1,1,1,0.14,0.76,0.49,0.66,0.48,0.42,1,0.45,0.08,1,0.99,0.76,0.57,0.95,0.43,0.11,0.25,0.78,0.05,0
1557,1,1,0,0.71,0.01,0.46,0.15,0.53,0.42,0,0.01,0.01,1,0.77,0.88,0.34,0.37,0.31,0.71,0.25,0.54,0.69,1
1558,1,0,0,0.55,0.79,0.53,0.20,0.88,0.98,0,0.55,0.19,1,0.42,0.75,0.74,0.62,0.53,0.29,0.73,0.61,0.70,0
1559,1,1,0,0.79,0.16,0.74,0.28,0.59,0.13,1,0.57,0.45,1,0.77,0.92,0.42,0.32,0.33,0.34,0.22,0.53,0.64,0
1560,1,0,0,0.16,0.92,0.24,0.46,0.49,0.11,0,0.39,0.40,0,0.96,0.26,0.87,0.58,0.37,0.44,0.01,0.53,0.77,1
1561,1,0,0,0.35,0.83,0.00,0.03,0.54,0.53,1,0.25,0.27,1,0.27,0.31,0.79,0.47,0.13,0.92,0.70,0.14,0.35,1
1562,1,1,0,0.94,0.27,0.29,0.42,0.34,0.78,0,0.62,0.43,0,0.69,0.73,0.26,0.75,0.51,0.57,0.09,0.51,0.54,0
1563,1,1,0,0.32,0.54,0.62,0.16,0.91,0.44,1,0.63,0.11,1,0.98,0.69,0.57,0.41,0.50,0.17,0.60,0.28,0.78,0
1564,1,0,0,0.98,0.56,0.29,0.24,0.70,0.84,1,0.35,0.29,1,0.29,0.46,0.25,0.79,0.30,0.12,0.92,0.89,0.86,0
1565,1,1,0,0.66,0.55,0.24,0.17,0.83,0.36,0,0.29,0.48,0,0.72,0.85,0.93,0.44,0.61,0.53,0.29,0.74,0.14,1
1566,1,1,0,0.60,0.13,0.69,0.46,0.38,0.12,0,0.63,0.57,1,0.38,0.84,0.21,0.01,0.04,0.92,0.77,0.19,0.69,0
1567,1,1,0,0.10,0.51,0.41,0.19,0.43,0.64,1,0.58,0.25,0,0.60,0.78,0.11,0.28,0.10,0.63,0.31,0.88,0.26,1
1568,1,1,1,0.95,0.03,0.02,0.17,0.88,0.25,1,0.46,0.30,1,0.08,0.46,0.31,0.61,0.17,0.62,0.07,0.97,0.92,1
1569,1,1,0,0.17,0.78,0.73,0.45,0.44,0.08,1,0.14,0.40,1,0.59,0.31,0.04,0.18,0.12,0.44,0.44,0.91,0.95,1
1570,1,0,1,0.60,0.47,0.54,0.10,0.74,0.89,1,0.98,0.55,1,0.46,0.43,0.33,0.08,0.41,0.49,0.78,0.87,0.60,1
1571,1,0,0,0.24,0.88,0.21,0.35,0.46,0.90,1,0.95,0.40,0,0.24,0.42,0.43,0.30,0.53,0.41,0.87,0.35,0.16,1
1572,1,1,0,0.10,0.32,0.21,0.37,0.48,0.20,1,0.48,0.37,1,0.00,0.83,0.81,0.64,0.23,0.28,0.63,0.63,0.16,0
1573,1,1,0,0.22,0.88,0.55,0.49,0.43,0.10,1,0.23,0.31,1,0.26,0.27,0.27,0.12,0.52,0.79,0.68,0.48,0.24,0
1574,1,1,0,0.79,0.29,0.18,0.24,0.81,0.13,0,0.68,0.23,1,0.45,0.12,0.24,0.77,0.38,0.10,0.90,0.55,0.51,0
1575,1,1,0,0.68,0.01,0.94,0.58,0.31,0.84,1,0.13,0.25,0,0.59,0.47,0.88,0.81,0.53,0.07,0.66,0.91,0.18,1
1576,1,0,1,0.14,0.05,0.55,0.44,0.59,0.87,1,0.99,0.23,0,0.75,0.81,0.80,0.56,0.70,0.92,0.83,0.74,0.98,1
1577,1,1,0,0.20,0.48,0.35,0.36,0.46,0.67,0,0.90,0.77,1,0.79,0.64,0.70,0.96,0.59,0.84,0.82,0.97,0.58,0
1578,1,1,0,0.72,0.08,0.14,0.22,0.77,0.39,0,0.87,0.41,0,0.68,0.89,0.59,0.03,0.07,0.31,0.88,0.68,0.29,0
1579,1,1,1,0.58,0.07,0.04,0.46,0.51,0.74,1,0.69,0.47,1,0.83,0.86,0.89,0.93,0.63,0.97,0.10,0.67,0.66,0
1580,1,1,0,0.92,0.14,0.43,0.28,0.46,0.64,1,0.92,0.59,1,0.16,0.08,0.31,0.99,0.74,0.94,0.26,0.74,0.87,0
1581,1,1,1,0.08,0.44,0.68,0.52,0.49,0.02,0,0.24,0.35,0,0.80,0.32,0.94,0.62,0.50,0.43,0.32,0.14,0.95,1
1582,1,1,0,0.49,0.58,0.01,0.28,0.78,0.63,0,0.79,0.03,0,0.84,0.66,1.00,0.29,0.18,0.22,0.92,0.01,0.07,0
1583,1,1,0,0.25,0.26,0.59,0.44,0.44,0.23,1,0.11,0.25,1,0.45,0.59,0.25,0.22,0.32,0.67,0.62,0.38,0.91,1
1584,1,1,0,0.01,0.28,0.56,0.38,0.66,0.62,0,0.74,0.32,0,0.25,0.04,0.40,0.78,0.44,0.39,0.16,0.31,0.08,0
1585,1,1,1,0.88,0.54,0.08,0.09,0.50,0.41,1,0.39,0.25,0,0.67,0.97,0.43,0.50,0.32,0.84,0.23,0.30,0.06,1
1586,1,1,0,0.47,0.24,0.82,0.26,0.57,0.17,1,0.50,0.61,1,0.81,0.86,0.88,0.38,0.34,0.60,0.17,0.78,0.57,0
1587,1,0,0,0.70,0.62,0.02,0.44,0.58,0.72,0,0.51,0.27,0,0.31,0.25,0.52,0.57,0.37,0.80,0.08,0.32,0.20,0
1588,1,1,0,0.26,0.46,0.23,0.17,0.80,0.39,1,0.39,0.26,1,0.54,0.45,0.54,0.86,0.50,0.01,0.43,0.54,0.81,1
1589,1,0,0,0.34,0.37,0.25,0.35,0.63,0.11,0,0.64,0.47,1,0.62,0.19,0.91,0.57,0.48,0.13,0.20,0.26,0.04,0
1590,1,0,0,0.61,0.05,0.20,0.37,0.76,0.41,0,0.89,0.53,0,0.23,0.97,0.00,0.38,0.37,0.38,0.80,0.23,0.49,0
1591,1,1,0,0.28,0.58,0.40,0.62,0.27,0.64,1,0.52,0.49,1,0.27,0.89,0.80,0.09,0.47,0.53,0.09,0.15,0.97,0
1592,1,1,0,0.34,0.15,0.14,0.06,0.59,0.67,0,0.30,0.28,0,0.66,0.78,0.23,0.97,0.68,0.29,0.31,0.72,0.26,0
1593,1,0,0,0.75,0.44,0.44,0.25,0.58,0.63,0,0.95,0.52,0,0.07,0.76,0.16,0.11,0.47,0.86,0.88,0.55,0.78,1
1594,1,1,0,0.74,0.14,0.35,0.18,0.88,0.00,1,0.40,0.46,0,0.88,0.38,0.96,0.76,0.35,0.95,0.85,0.71,0.07,0
1595,1,1,0,0.14,0.94,0.23,0.18,0.64,0.12,0,0.46,0.36,0,0.30,0.81,0.31,0.42,0.32,0.89,0.24,0.04,0.10,1
1596,1,1,0,0.88,0.65,0.74,0.30,0.77,0.05,1,0.42,0.36,0,0.06,0.18,0.04,0.14,0.33,0.12,0.79,0.14,0.67,1
1597,1,1,0,0.31,0.26,0.25,0.50,0.66,0.43,0,0.69,0.43,0,0.87,0.71,0.79,0.87,0.63,0.24,0.46,0.53,0.66,1
1598,1,1,0,0.32,0.85,0.90,0.62,0.47,0.75,1,0.54,0.41,0,0.38,0.12,0.77,0.79,0.59,0.08,0.25,0.70,0.06,1
1599,1,1,0,0.95,0.82,0.78,0.30,0.57,0.01,1,0.75,0.35,1,0.82,0.89,0.27,0.50,0.58,0.20,0.94,0.80,0.58,1
1600,1,1,0,0.73,0.79,0.50,0.17,0.86,0.55,1,0.26,0.16,0,0.64,0.98,0.35,0.21,0.27,0.34,0.03,0.21,0.02,0
1601,1,1,0,0.71,0.14,0.25,0.30,0.49,0.98,0,0.68,0.41,0,0.88,0.95,0.33,0.74,0.27,0.62,0.81,0.58,0.85,1
1602,1,1,0,0.03,0.28,0.43,0.65,0.55,0.44,1,0.30,0.33,1,0.21,0.80,0.77,0.99,0.46,0.59,0.92,0.48,0.40,0
1603,1,0,0,0.24,0.82,0.54,0.24,0.43,0.36,1,0.40,0.64,0,0.14,0.30,0.96,0.47,0.10,0.52,0.94,0.39,0.74,1
1604,1,0,1,0.39,0.47,0.94,0.44,0.38,0.46,1,0.76,0.62,0,0.78,0.20,0.39,0.62,0.63,0.67,0.31,0.33,0.74,1
1605,1,1,1,0.03,0.29,0.26,0.09,0.48,0.98,1,0.56,0.38,0,0.47,0.05,0.15,0.37,0.33,0.20,0.09,0.78,0.46,0
1606,1,1,0,0.85,0.99,0.12,0.19,0.49,0.04,1,0.65,0.12,0,0.36,0.08,0.20,0.20,0.35,0.77,0.27,0.07,0.62,0
1607,1,1,0,0.11,0.12,0.98,0.41,0.74,0.46,0,0.21,0.40,1,0.02,0.62,0.80,0.53,0.39,0.71,0.71,0.10,0.96,1
1608,1,0,0,0.86,0.44,0.07,0.33,0.66,0.70,1,0.90,0.44,0,0.21,0.27,0.20,0.69,0.41,0.54,0.14,0.03,0.89,1
1609,1,1,0,0.68,0.54,0.10,0.50,0.41,0.13,0,0.88,0.67,0,0.73,0.43,0.84,0.08,0.50,0.87,0.87,0.67,0.54,0
